Actiune,TimeStamp
Adaugare produs in lista de cumparaturi,05-05-2020 09:07:22
Adaugare nr telefon in agenda,05-05-2020 09:07:43
Adaugare produs in lista de cumparaturi,05-05-2020 09:12:06
Stergere produs din lista de cumparaturi,05-05-2020 09:12:10
Listeaza toate activitatile,05-05-2020 09:33:10
Listeaza toate activitatile,05-05-2020 09:33:41
Lista de Cumparaturi,05-05-2020 18:05:27
Listeaza numerele de telefon,05-05-2020 18:05:34
Listeaza toate activitatile,05-05-2020 18:05:43
Listarea Facturilor,05-05-2020 18:05:54
Stergere produs din lista de cumparaturi,05-05-2020 19:36:22
Stergere produs din lista de cumparaturi,05-05-2020 19:38:43
Lista de Cumparaturi,05-05-2020 19:43:47
Stergere produs din lista de cumparaturi,05-05-2020 20:10:13
Adaugare produs in lista de cumparaturi,05-05-2020 20:44:50
Stergere produs din lista de cumparaturi,05-05-2020 20:56:38
Adauga Examen,05-05-2020 20:56:49
Lista de Cumparaturi,05-05-2020 21:33:15
Afisare Examen,05-05-2020 21:38:14
Listeaza toate activitatile,05-05-2020 21:45:16
Adauga Intalnire,05-05-2020 21:45:45
Lista de Cumparaturi,05-05-2020 21:53:25
Stergere produs din lista de cumparaturi,05-05-2020 21:53:31
Adaugare produs in lista de cumparaturi,05-05-2020 21:53:51
